,minTemp,maxTemp,minDate,maxDate,meanTemp
1901302235_H6_S_14,21.3,65.8,['12/6/2013'],['7/13/2014'],35.726191321640705
1901302121_H8_S_14,17.9,73.4,['10/28/2013'],['7/13/2014'],34.698865895869396
1901302217_H18_D_14,21.0,82.4,['10/28/2013'],['7/26/2014'],33.334564066359555
1901302110_H13_S_14,22.8,60.9,['10/4/2013'],['7/13/2014'],32.24003248358139
1901302146_H14_D_14,24.6,66.1,['1/21/2014' '1/22/2014' '1/23/2014'],['7/13/2014'],34.24207513941743
1901302240_H8_D_14,21.4,81.3,['10/28/2013'],['7/13/2014'],35.993644598273534
1901302109_H7_S_14,20.8,89.4,['10/28/2013'],['7/2/2014'],36.524380044018045
1901302150_H14_S_14,19.4,70.5,['10/28/2013'],['7/13/2014'],34.403639565600834
1901302141_H19_S_14,19.4,71.8,['1/23/2014'],['7/13/2014'],39.46768146678488
1901302241_H2_D_14,25.9,69.4,['11/16/2013'],['9/15/2013'],34.88492985687798
1901302194_H10_S_14,22.3,66.8,['10/28/2013'],['7/13/2014'],35.49852380279647
1901302227_H11_S_14,22.2,104.2,['10/28/2013'],['7/14/2014'],36.21180917431059
1901302136_H15_D_14,23.0,91.4,['10/28/2013'],['7/27/2014'],35.291187261523454
1901302223_H16_S_14,25.3,63.9,['10/4/2013'],['7/13/2014'],35.50903954802164
1901302243_H5_S_14,21.5,68.4,['10/28/2013'],['7/13/2014'],35.30480789716791
1901302122_H3_D_14,27.4,64.3,['11/5/2013'],['7/13/2014'],37.571647727272186
1901302202_H16_S_14,20.0,65.7,['2/5/2014'],['7/13/2014' '7/19/2014'],34.28004255631336
1901302236_H17_D_14,22.3,65.0,['10/28/2013'],['7/26/2014'],35.91733802920407
1901302158_H9_S_14,21.2,71.8,['10/28/2013'],['7/13/2014'],35.16926750422685
1901302225_H12_D_14,22.1,63.9,['10/16/2013'],['7/14/2014'],34.060063559319694
1901302120_H5_D_14,22.7,63.9,['10/28/2013'],['7/13/2014'],35.31249201051068
1901302118_H1_D_14,27.0,86.3,['10/16/2013' '11/18/2013'],['9/15/2013'],35.60352866151906
1901302203_H7_S_14,21.8,63.0,['10/28/2013'],['7/13/2014'],32.955576880489446
1901302119_H4_S_14,20.7,73.7,['10/28/2013'],['6/30/2014'],35.1503267045429
1901302212_H9_D_14,22.3,62.7,['10/28/2013'],['7/14/2014'],34.514721260770244
1901302108_H7_D_14,24.9,52.2,['11/5/2013'],['7/26/2014' '7/27/2014'],32.7065771019398
1901302224_H3_S_14,21.3,108.0,['9/27/2013'],['6/30/2014'],38.74253551136267
1901302237_H10_D_14,24.4,73.2,['10/28/2013'],['7/24/2014'],35.807603621446034
1901302117_H15_S_14,23.7,67.5,['10/28/2013'],['7/13/2014'],34.974126797766935
1901302137_H18_S_14,20.3,62.1,['10/28/2013'],['7/13/2014' '7/27/2014'],33.210540063536214
1901302214_H19_D_14,21.6,69.8,['1/27/2014'],['9/2/2014'],39.63558869809211
1901302134_H13_D_14,24.0,50.0,['9/27/2013'],['7/26/2014'],31.98697217907111
1901302157_H12_S_14,17.8,75.8,['10/28/2013'],['7/13/2014'],34.58131487889515
1901302138_H11_D_14,24.6,78.6,['10/28/2013'],['7/2/2014'],35.34067522935687
1901302228_H4_D_14,23.6,64.1,['11/5/2013'],['7/13/2014'],34.80269176136048
1901302115_H1_S_14,23.2,79.8,['10/16/2013'],['7/13/2014'],36.58338660416422
